DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/02/2013,4:00,,,40.7363231,-73.8563019,"(40.7363231, -73.8563019)",,,,4,1,0,0,0,0,4,1,Unspecified,,,,,3089792,SPORT UTILITY / STATION WAGON,,,,
12/31/2012,18:14,BROOKLYN,11226,40.6490386,-73.9474653,"(40.6490386, -73.9474653)",EAST 32 STREET,SNYDER AVENUE,,1,1,0,1,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,136731,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
12/30/2012,5:10,,,,,,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD,,3,1,0,0,0,0,3,1,Unspecified,,,,,221890,PASSENGER VEHICLE,,,,
12/29/2012,4:29,BRONX,10462,40.8338892,-73.8546529,"(40.8338892, -73.8546529)",WESTCHESTER AVENUE,OLMSTEAD AVENUE,,0,1,0,1,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,82058,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
12/29/2012,2:37,STATEN ISLAND,10302,40.6402245,-74.1366666,"(40.6402245, -74.1366666)",RICHMOND TERRACE,SHARPE AVENUE,,0,1,0,0,0,0,0,1,Unspecified,,,,,286651,PASSENGER VEHICLE,,,,
12/28/2012,21:10,BROOKLYN,11229,40.6033724,-73.9582113,"(40.6033724, -73.9582113)",AVENUE S,EAST 14 STREET,,1,1,0,0,0,0,1,1,Physical Disability,Unspecified,Unspecified,Unspecified,,117798,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/28/2012,8:47,QUEENS,11372,40.7553632,-73.8872263,"(40.7553632, -73.8872263)",NORTHERN BOULEVARD,80 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,280998,LARGE COM VEH(6 OR MORE TIRES),,,,
12/28/2012,1:30,,,,,,PECK AVENUE,HORACE HARDING EXPRESSWAY,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,234616,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
12/27/2012,17:36,QUEENS,11355,40.7542523,-73.8278248,"(40.7542523, -73.8278248)",FRANKLIN AVENUE,MAIN STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,248289,PASSENGER VEHICLE,,,,
12/26/2012,20:27,MANHATTAN,10019,40.7668758,-73.979076,"(40.7668758, -73.979076)",7 AVENUE,WEST 59 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,39815,BUS,,,,
12/26/2012,17:55,QUEENS,11004,40.7361595,-73.7137011,"(40.7361595, -73.7137011)",HILLSIDE AVENUE,LITTLE NECK PARKWAY,,0,1,0,1,0,0,0,0,Unspecified,,,,,221841,UNKNOWN,,,,
12/26/2012,18:30,QUEENS,11435,40.6878729,-73.7974623,"(40.6878729, -73.7974623)",111 AVENUE,147 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,269294,UNKNOWN,,,,
12/24/2012,18:39,QUEENS,11427,40.7312494,-73.7516764,"(40.7312494, -73.7516764)",85 AVENUE,218 STREET,,1,1,0,0,0,0,1,1,Following Too Closely,,,,,260716,PICK-UP TRUCK,,,,
12/20/2012,19:32,MANHATTAN,10023,40.7729916,-73.9820779,"(40.7729916, -73.9820779)",WEST 65 STREET,COLUMBUS AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,53252,TAXI,,,,
12/19/2012,3:50,QUEENS,11422,40.6643565,-73.7345263,"(40.6643565, -73.7345263)",FRANCIS LEWIS BOULEVARD,246 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,221730,UNKNOWN,,,,
12/19/2012,16:32,STATEN ISLAND,10303,40.6360222,-74.156053,"(40.6360222, -74.156053)",ERASTINA PLACE,ORINOCO PLACE,,0,1,0,0,0,0,0,1,Unspecified,,,,,286557,SPORT UTILITY / STATION WAGON,,,,
12/18/2012,6:49,BROOKLYN,11223,40.6056754,-73.9669612,"(40.6056754, -73.9669612)",OCEAN PARKWAY,KINGS HIGHWAY,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,117693,BUS,,,,
12/17/2012,5:15,STATEN ISLAND,10306,40.5715006,-74.121624,"(40.5715006, -74.121624)",AMBOY ROAD,DALE AVENUE,,0,1,0,0,0,0,0,1,Alcohol Involvement,,,,,295659,PASSENGER VEHICLE,,,,
12/17/2012,1:50,,,40.6142704,-74.1566467,"(40.6142704, -74.1566467)",,,,2,1,0,0,0,0,2,1,Unspecified,Unspecified,Unspecified,,,3122012,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
12/16/2012,18:42,BROOKLYN,11234,40.6217782,-73.9203908,"(40.6217782, -73.9203908)",EAST 57 STREET,AVENUE M,,0,1,0,1,0,0,0,0,Unspecified,,,,,126826,PASSENGER VEHICLE,,,,
12/16/2012,4:45,BROOKLYN,11203,40.6505183,-73.9235855,"(40.6505183, -73.9235855)",KINGS HIGHWAY,SNYDER AVENUE,,1,2,0,0,0,0,1,2,Unspecified,Unspecified,,,,136573,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/15/2012,1:04,BROOKLYN,11217,40.6840525,-73.9774579,"(40.6840525, -73.9774579)",FLATBUSH AVENUE,ATLANTIC AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,176700,SMALL COM VEH(4 TIRES),,,,
