,long,lat,YR,MO,CR
33349,-73.97922693942492,40.641796960947595,2014.0,1.0,M
33402,-73.91254558490819,40.84138857441483,2014.0,4.0,M
33425,-73.87509545443805,40.67232710484584,2014.0,3.0,M
33432,-73.91275044482369,40.66038635231415,2014.0,3.0,M
33517,-73.91028319115429,40.67252186763325,2014.0,3.0,M
33704,-73.85888744330012,40.89387718376884,2014.0,1.0,M
33840,-73.90346990295188,40.82189660862993,2014.0,1.0,M
33853,-73.94617874613424,40.67141341177263,2014.0,1.0,M
34064,-73.78561143255118,40.59096839358275,2014.0,2.0,M
34795,-73.89512574456066,40.85959340864336,2014.0,3.0,M
35733,-73.83182951068778,40.882176001934035,2014.0,4.0,M
35793,-73.89641475187798,40.86525414461639,2014.0,4.0,M
36207,-73.91287737821072,40.8529659988719,2014.0,6.0,M
36678,-73.79431407657637,40.71018228688968,2014.0,5.0,M
36919,-73.8302290959302,40.88720467973547,2014.0,5.0,M
37129,-73.86647014276555,40.87511526680922,2014.0,5.0,M
37131,-73.8623630950147,40.880028933296266,2014.0,5.0,M
37301,-73.91512823473319,40.69237849165792,2014.0,4.0,M
37609,-73.85644206503244,40.89234263352889,2014.0,6.0,M
37697,-74.16684717116006,40.63586433024131,2014.0,7.0,M
37803,-73.94007522767099,40.70396887055777,2014.0,8.0,M
37920,-73.85099281336146,40.84330990783069,2014.0,8.0,M
37966,-73.8826201464526,40.65938789927998,2014.0,6.0,M
38069,-73.87946836457583,40.82986114754233,2014.0,7.0,M
38549,-73.94924177818478,40.687120400195056,2014.0,7.0,M
38775,-73.91874304437522,40.81833475842802,2014.0,7.0,M
39326,-73.94745569556792,40.83053521453507,2014.0,8.0,M
39500,-73.88586309685287,40.8157872447183,2014.0,8.0,M
39508,-73.86059617755576,40.88452810708186,2014.0,8.0,M
39641,-77.51958437167269,40.11238529747836,2014.0,4.0,M
39812,-73.89924889401512,40.86070868673922,2014.0,6.0,M
39842,-73.93742023722206,40.80437576971026,2014.0,6.0,M
40021,-74.07503146063354,40.62560206344402,2014.0,7.0,M
41382,-73.95864591608061,40.82031570336457,2014.0,1.0,M
42441,-73.83919758228008,40.577993344874365,2014.0,2.0,M
42604,-73.86368467164395,40.66933057531369,2014.0,2.0,M
42686,-73.9071797746886,40.66441956418596,2014.0,2.0,M
42811,-73.93999702533613,40.662627063766884,2014.0,2.0,M
42967,-73.79346518693303,40.687300327736075,2014.0,5.0,M
43285,-73.8911929581391,40.7422032315168,2014.0,4.0,M
43490,-73.92363963147719,40.66304555410953,2014.0,5.0,M
43762,-73.96640882997727,40.79438881950063,2014.0,3.0,M
44077,-73.92313369086689,40.6203967256436,2014.0,4.0,M
44239,-73.9077086656183,40.672939782087376,2014.0,4.0,M
